epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,484.963,0.81596,2.96621,1.46883,0.56576,0.60279,0.61509,0.51536,0.65177,1.32854,1.38252,0.00333193,0.00333193,0.00333193
2,806.995,0.68978,1.76254,1.33834,0.79563,0.78014,0.86341,0.74324,0.59638,0.82445,1.33975,0.00633533,0.00633533,0.00633533
3,1021.67,0.68882,1.50799,1.32516,0.82432,0.85991,0.93154,0.81628,0.52033,0.69927,1.20498,0.00900874,0.00900874,0.00900874
4,1200.08,0.67167,1.28958,1.30694,0.90849,0.91775,0.97251,0.88865,0.42477,0.47308,1.0781,0.008515,0.008515,0.008515
5,1377.12,0.62415,1.09844,1.26881,0.94347,0.94308,0.98094,0.90444,0.41027,0.40256,1.04342,0.00802,0.00802,0.00802
6,1554.38,0.59312,0.99535,1.24494,0.95639,0.9646,0.98729,0.91607,0.39877,0.34081,1.01661,0.007525,0.007525,0.007525
7,1739.83,0.57366,0.93017,1.23053,0.96575,0.96934,0.98895,0.9211,0.41076,0.34478,1.03383,0.00703,0.00703,0.00703
8,1920.77,0.55656,0.8825,1.21913,0.97287,0.97532,0.99076,0.93584,0.36093,0.30061,0.97915,0.006535,0.006535,0.006535
9,2091.51,0.53866,0.83947,1.20435,0.97545,0.97972,0.99094,0.94079,0.35185,0.29073,0.9778,0.00604,0.00604,0.00604
10,2263.33,0.52738,0.80797,1.19705,0.97385,0.98105,0.99156,0.94869,0.32567,0.26837,0.94075,0.005545,0.005545,0.005545
11,2435.26,0.22299,0.3167,1.07731,0.98094,0.98101,0.99188,0.97137,0.26818,0.23613,0.86694,0.00505,0.00505,0.00505
12,2599.3,0.19003,0.26418,1.04761,0.98538,0.98596,0.99245,0.97442,0.25532,0.21382,0.84524,0.004555,0.004555,0.004555
13,2770,0.17556,0.23613,1.03456,0.9855,0.98874,0.99318,0.97944,0.25118,0.22061,0.84106,0.00406,0.00406,0.00406
14,2934.26,0.16258,0.21241,1.02272,0.98988,0.98553,0.99319,0.98373,0.23198,0.20761,0.81799,0.003565,0.003565,0.003565
15,3099.33,0.15645,0.19638,1.01725,0.98744,0.99031,0.99347,0.98435,0.21987,0.18203,0.80188,0.00307,0.00307,0.00307
16,3263.26,0.14702,0.17526,1.0083,0.9871,0.99228,0.99361,0.98561,0.22785,0.18711,0.80838,0.002575,0.002575,0.002575
17,3427.47,0.13766,0.15732,1.00293,0.99065,0.98977,0.99375,0.98628,0.22492,0.18137,0.8015,0.00208,0.00208,0.00208
18,3593.39,0.12941,0.14169,0.99473,0.99083,0.99324,0.99394,0.98767,0.21671,0.18106,0.79057,0.001585,0.001585,0.001585
19,3761.78,0.12138,0.12709,0.98909,0.99231,0.99225,0.99394,0.98752,0.21725,0.1785,0.78981,0.00109,0.00109,0.00109
20,3926.46,inf,0.11203,0.98343,0.99255,0.99186,0.99407,0.98795,0.21381,0.17604,0.78329,0.000595,0.000595,0.000595
